CU,CHILD CU,STOCK CODE,QTY,,,,,,,,,,,,,,
11ABSUMPLP,,000023835,1.00,,,,,,,,,,,,,,
11ABSUMPLP,,000000690,2.00,,,,,,,,,,,,,,
11AM/N,SET155-4,,3.00,,,,,,,,,,,,,,
11BP,SET165-4,,1.00,,,,,,,,,,,,,,
11BRCCTAL,11CCT1350,,4.00,,,,,,,,,,,,,,
11BRCCTAL,SC05893D,,2.00,,,,,,,,,,,,,,
11BRCCTAL/3,11BRCCTAL,,3.00,,,,,,,,,,,,,,
11BRCCTAS,11CCT1350,,2.00,,,,,,,,,,,,,,
11BRCCTAS,SC05893D,,2.00,,,,,,,,,,,,,,
11BRCCTAS/3,11BRCCTAS,,3.00,,,,,,,,,,,,,,
11BRCCTCL,11CCT1350,,4.00,,,,,,,,,,,,,,
11BRCCTCL,SC15568D,,2.00,,,,,,,,,,,,,,
11BRCCTCL/3,11BRCCTCL,,3.00,,,,,,,,,,,,,,
11BRCCTCS,11CCT1350,,2.00,,,,,,,,,,,,,,
11BRCCTCS,SC15568D,,2.00,,,,,,,,,,,,,,
11BRCCTCS/3,11BRCCTCS,,3.00,,,,,,,,,,,,,,
11BS,SET151-1,,1.00,,,,,,,,,,,,,,
11BS,SET152-1,,1.00,,,,,,,,,,,,,,
11BS,SET153-1,,2.00,,,,,,,,,,,,,,
11BS,SET154-4,,5.00,,,,,,,,,,,,,,
11BS,,000014276,1.00,,,,,,,,,,,,,,
11BS1,SET151-1,,1.00,,,,,,,,,,,,,,
11BS1,SET152-1,,1.00,,,,,,,,,,,,,,
11BS1,SET153-1,,2.00,,,,,,,,,,,,,,
11BS1,SET154-4,,6.00,,,,,,,,,,,,,,
11BS1,,000014276,1.00,,,,,,,,,,,,,,
11CAB/S,,000002475,0.00,,,,,,,,,,,,,,
11CAB/S,,000002476,0.00,,,,,,,,,,,,,,
11CAB/S,,000016990,1.00,,,,,,,,,,,,,,
11CAB/S,,000021723,1.00,,,,,,,,,,,,,,
11CAB/S,,000022518,1.00,,,,,,,,,,,,,,
11CAB/S,,000022946,1.00,,,,,,,,,,,,,,
11CAB/S,,000000684,2.00,,,,,,,,,,,,,,
11CAB/S,,000000214,3.00,,,,,,,,,,,,,,
11CAB/S,,000000221,3.00,,,,,,,,,,,,,,
11CAB/S,,000010559,3.00,,,,,,,,,,,,,,
11CAB/S,,000000903,4.00,,,,,,,,,,,,,,
11CAB/S,,000001080,4.00,,,,,,,,,,,,,,
11CAB/S,,000006259,4.00,,,,,,,,,,,,,,
11CAB/S,,000001008,6.00,,,,,,,,,,,,,,
11CAB/S,,000010446,6.00,,,,,,,,,,,,,,
11CAB/S,,000002593,6.50,,,,,,,,,,,,,,
11CAB/S,,000001045,9.00,,,,,,,,,,,,,,
11CAB/S,,002401190,10.00,,,,,,,,,,,,,,
11CAB/S,,000001089,12.00,,,,,,,,,,,,,,
11CCT1350,,000020279,1.00,,,,,,,,,,,,,,
11CCTSSA,CCTWC,,6.00,,,,,,,,,,,,,,
11CCTSSA,SET152-11,,1.00,,,,,,,,,,,,,,
11CCTSSA,SET156-2,,2.00,,,,,,,,,,,,,,
11CCTSSA,SET157-2,,1.00,,,,,,,,,,,,,,
11CCTSSA,SET161-5,,6.00,,,,,,,,,,,,,,
11CCTSSA,SET162-30,,3.00,,,,,,,,,,,,,,
11CCTSSA,SET257-4,,3.00,,,,,,,,,,,,,,
11CCTSSA,SET273-10,,3.00,,,,,,,,,,,,,,
11CCTSSA,SET273-20,,1.00,,,,,,,,,,,,,,
11CCTSSA,,000022756,0.20,,,,,,,,,,,,,,
11CCTSSA,,000022792,1.00,,,,,,,,,,,,,,
11CCTSSA,,000000413,3.00,,,,,,,,,,,,,,
11CCTSSA,,000022847,3.00,,,,,,,,,,,,,,
11CCTSSA,,000010886,15.00,,,,,,,,,,,,,,
11D/S,,000000251,1.00,,,,,,,,,,,,,,
11D/S,,000000192,2.00,,,,,,,,,,,,,,
11DC1/NMOS,11DCI/N,,1.00,,,,,,,,,,,,,,
11DCI,SET300-1,,3.00,,,,,,,,,,,,,,
11DCI,,000000251,6.00,,,,,,,,,,,,,,
11DCI/N,11DCI,,1.00,,,,,,,,,,,,,,
11DCI/N,SET166-2,,6.00,,,,,,,,,,,,,,
11DCI/NMAS,11DCI/N,,1.00,,,,,,,,,,,,,,
11DCI/NMOS,11DCI/N,,1.00,,,,,,,,,,,,,,
11DCI/NPLS,11DCI/N,,1.00,,,,,,,,,,,,,,
11DCS7,SET166-3,,12.00,,,,,,,,,,,,,,
